lemma_slp1	example_slp1	example_sa	example_ru	example_work	example_passage	example_kind
Bikzuka	Bikzuka	bhikṣuka	просящим милостыню	02_ramayana-ayodhyakanda	30.43	translation
BindipAla	BiRqipAla	bhiṇḍipāla	пращами	06_mahabharata-bhishmaparva	6.72.1-17	translation
Bindu	Bindur	bhindur	Проламывающий	01_rigveda	11.4	translation
BinnAYjanacayopama	BinnAYjanacayopama	bhinnāñjanacayopama	подобный груде раздробленной сурьмы	07_mahabharata-dronaparva	7.84.15-23	translation
BinnArTa	BinnArTa	bhinnārtha	разные объекты	nyaya-bhashya	2.1.36	translation
Binna	Binna	bhinna	в раздоре	01_mahabharata-adiparva	1.25.10-17	translation
BinnaBARqa	BinnaBARqe	bhinnabhāṇḍe	разбитого сосуда	manavadharmashastra	4.65	translation
BinnaBAjana	BinnaBAjane	bhinnabhājane	в разбитой посуде	manavadharmashastra	10.54	translation
Binnadeha	Binnadeha	bhinnadeha	искалеченные тела	07_mahabharata-dronaparva	7.69.46-50	translation
Binnahfdaya	Binnahfdaya	bhinnahṛdaya	с пробитым сердцем	03_mahabharata-aranyakaparva	3.137.19-20	translation
BinnajAtIya	BinnajAtIya	bhinnajātīya	разнородных	nyaya-bhashya	3.1.31	translation
Binnakarawa	Binnakarawa	bhinnakaraṭa	с потрескавшимися от течки висками	03_mahabharata-aranyakaparva	3.262.35-41	translation
Binnakawa	Binnakawa	bhinnakaṭa	с лопнувшими висками	08_mahabharata-karnaparva	8.13.9-15	translation
BinnakumBa	BinnakumBa	bhinnakumbha	с рассеченными лобными выпуклостями	09_mahabharata-shalyaparva	9.19.21-26	translation
Binnamarman	Binnamarma	bhinnamarma	раненный в грудь	03_mahabharata-aranyakaparva	3.264.35-40	translation
BinnamaryAda	BinnamaryAda	bhinnamaryāda	преступающих закон	03_mahabharata-aranyakaparva	3.198.63-71	translation
BinnamastakapiRqaka	BinnamastakapiRqaka	bhinnamastakapiṇḍaka	с разбитыми головами	07_mahabharata-dronaparva	7.91.16-23	translation
Binnatva	BinnatvAt	bhinnatvāt	из-за своего отличия	kama-sutra	1.5.27	translation
Bitti	Bitti	bhitti	стенами	02_ramayana-ayodhyakanda	88.7	translation
BiyA	BiyA	bhiyā	от страха	01_rigveda	37.8	translation
Biyas	BiyasA	bhiyasā	в страхе	01_rigveda	52.9	translation
BiyasAna	BiyasAne	bhiyasāne	перепуганные	04_atharvaveda	2.3	translation
Bizaj	Bizaj	bhiṣaj	лекарю	manavadharmashastra	3.180	translation
Bizajy	BizajyaTaH	bhiṣajyathaḥ	исцеляете	08_rigveda	9.6	translation
Bizaktama	BizaktamaM	bhiṣaktamaṃ	самый исцеляющий	02_rigveda	33.4	translation
Bizaktara	Bizaktara	bhiṣaktara	лучше исцеляющие	19_atharvaveda	2.3	translation
Bo	Bo	bho	эй	01_mahabharata-adiparva	1.3.24-31	translation
BoBAva	BoBAva	bhobhāva	свойство [слова] 'бхох'	manavadharmashastra	2.124	translation
BoH	Bo	bho	эй	01_mahabharata-adiparva	1.3.24-31	translation
BoHSabda	BoHSabda	bhoḥśabda	слово 'бхох'	manavadharmashastra	2.124	translation
BogAyatana	BogAyatana	bhogāyatana	локус вкушения	nyaya-bhashya	1.1.9	translation
Boga	Boga	bhoga	удовольствиями	01_mahabharata-adiparva	1.1.91-94	translation
BogatfzRA	BogatfzRayA	bhogatṛṣṇayā	из жажды власти	raghuvamsha	8.1-3	translation
Bogavat	BogavantaH	bhogavantaḥ	богатые	05_mahabharata-udyogaparva	5.28.8-14	translation
BogavatI	BogavatI	bhogavatī	Бхогавати	02_ramayana-ayodhyakanda	99.21	translation
Bogin	BoginA	bhoginā	змеей	05_ramayana-sundarakanda	38.25	translation
Bogya	Bogya	bhogya	желанную	02_ramayana-ayodhyakanda	50.11	translation
Bogyatva	Bogyatva	bhogyatva	вкушаемое	gitarthasamgraha-abhinavagupta	7.14	translation
Boja	Boja	bhoja	Бходжа	12_mahabharata-shantiparva	12.4.1-9	translation
BojakanyA	BojakanyA	bhojakanyā	царевной бходжей	raghuvamsha	7.34-35	translation
Bojakawa	BojakawaM	bhojakaṭaṃ	Бходжаката	05_mahabharata-udyogaparva	5.155.11-16	translation
BojakulapradIpa	BojakulapradIpa	bhojakulapradīpa	светоч рода Бходжей	raghuvamsha	7.29-31	translation
BojanAcCAdana	BojanAcCAdana	bhojanācchādana	пищей и одеждой	05_mahabharata-udyogaparva	5.39.32-39	translation
BojanArTin	BojanArTin	bhojanārthin	нуждающимся в еде	14_mahabharata-ashvamedhikaparva	14.90.20-31	translation
BojanIya	BojanIya	bhojanīya	накормлены	manavadharmashastra	3.124	translation
Bojana	Bojanena	bhojanena	угощения	02_ramayana-ayodhyakanda	20.25	translation
Bojanagara	Bojanagara	bhojanagara	город бходжей	05_mahabharata-udyogaparva	5.116.1-8	translation
BojanavelA	BojanavelA	bhojanavelā	к обеду	shukasaptati	21.2	translation
Bojapati	Bojapati	bhojapati	государя бходжей	raghuvamsha	7.17-28	translation
BojarAja	BojarAja	bhojarāja	царя бходжей	07_mahabharata-dronaparva	7.10.1-9	translation
Bojas	BojaH	bhojaḥ	Щедрый	10_rigveda	107.11	translation
Bojin	BojinaH	bhojinaḥ	едоков	12_mahabharata-shantiparva	12.7.1-10	commentary
BojyAnna	BojyAnna	bhojyānna	чью пищу можно есть	manavadharmashastra	4.253	translation
Bojya	Bojya	bhojya	съедобной	01_mahabharata-adiparva	1.14.22-23	translation
Boktf	Boktf	bhoktṛ	вкушающий	manavadharmashastra	7.144	translation
BoktfSakti	BoktfSakti	bhoktṛśakti	энергия Того-кто-наслаждается	yoga-sutry_vyasa-bhashya	4.22	translation
Boktftva	Boktftva	bhoktṛtva	в переживании	06_mahabharata-bhishmaparva	6.35.20	translation
BrAS	BrASyAni	bhrāśyāni	концы	10_rigveda	116.5	translation
BrAj	BrAjamAna	bhrājamāna	сверкающие	01_mahabharata-adiparva	1.25.26-33	translation
BrAja	BrAja	bhrāja	сверкающий	02_atharvaveda	11.5	translation
BrAjadfzwi	BrAjadfzwi	bhrājadṛṣṭi	со сверкающими копьями	01_rigveda	168.4	translation
BrAjas	BrAjase	bhrājase	сможешь сиять	03_mahabharata-aranyakaparva	3.11.11-17	translation
BrAji	BrAjayantIm	bhrājayantīm	озаряла	03_mahabharata-aranyakaparva	3.248.6-17	translation
BrAjizRu	BrAjizRu	bhrājiṣṇu	лучезарным	07_mahabharata-dronaparva	7.94.13-18	translation
BrAjizmat	BrAjizmat	bhrājiṣmat	блистают	06_mahabharata-bhishmaparva	6.4.20-30	translation
BrAma	BrAma	bhrāma	смятении	gitagovinda	2.10	translation
BrAmarI	BrAmarI	bhrāmarī	эпилептика	manavadharmashastra	3.161	translation
BrAmarin	BrAmarI	bhrāmarī	эпилептика	manavadharmashastra	3.161	translation
BrAntacitta	BrAntacittA	bhrāntacittā	разум ее блуждает	05_ramayana-sundarakanda	26.2	translation
BrAnti	BrAnti	bhrānti	движется	kama-sutra	2.1.21	translation
BrAntidarSana	BrAntidarSanam	bhrāntidarśanam	ложное восприятие	yoga-sutry_vyasa-bhashya	1.30	translation
BrAtf	BrAtur	bhrātur	у брата	01_atharvaveda	14.2	translation
BrAtfBAryA	BrAtfBAryA	bhrātṛbhāryā	жена брата	manavadharmashastra	2.132	translation
BrAtfdatta	BrAtfdatta	bhrātṛdatta	от братьев	manavadharmashastra	9.92	translation
BrAtfjAyA	BrAtfjAyA	bhrātṛjāyā	супругу брата	megha-duta	1.9	translation
BrAtfputra	BrAtfputra	bhrātṛputra	братьев и сыновей	05_mahabharata-udyogaparva	5.49.1-3	translation
BrAtftva	BrAtftva	bhrātṛtva	правом брата	03_mahabharata-aranyakaparva	3.150.1-9	translation
BrAtfvya	BrAtfvya	bhrātṛvya	враждебного племянника	07_mahabharata-dronaparva	7.23.15-19	translation
BrAtfvyacAtana	BrAtfvyacAtana	bhrātṛvyacātana	изгнание противников	02_atharvaveda	18.1	translation
BrAtfvyakzayaRa	BrAtfvyakzayaRa	bhrātṛvyakṣayaṇa	уничтожение противников	02_atharvaveda	18.1	translation
BrAtra	BrAtrA	bhrātrā	брата	12_mahabharata-shantiparva	12.1.35-44	translation
BrAtrya	BrAtrya	bhrātrya	брат	12_mahabharata-shantiparva	12.6.1-12	translation
BrI	BrIRanti	bhrīṇanti	ранит	02_rigveda	28.7	translation
BrU	Bruvor	bhruvor	бровей	02_ramayana-ayodhyakanda	23.2	translation
BrUBaNga	BrUBaNga	bhrūbhaṅga	изломах бровей	kumarasambhava	3.71	translation
BrUBeda	BrUBeda	bhrūbheda	нахмурить чело	raghuvamsha	13.36-37	translation
BrURa	BrURa	bhrūṇa	зародыши	10_rigveda	155.2	translation
BrURaGna	BrURaGna	bhrūṇaghna	убийца брахмана	manavadharmashastra	4.208	translation
BrURahan	BrURahA	bhrūṇahā	как	02_ramayana-ayodhyakanda	72.45	translation
BrURahatyA	BrURahatyA	bhrūṇahatyā	гибель зачатого плода	02_ramayana-ayodhyakanda	74.4	translation
BrUcApAkfzwamukta	BrUcApAkfzwamukta	bhrūcāpākṛṣṭamukta	луки бровей натянув туго	shatakatrayam	2.74	translation
BrUkuwi	BrUkuwi	bhrūkuṭi	нахмуренные брови	05_ramayana-sundarakanda	63.8	translation
BrUlatA	BrUlatA	bhrūlatā	бровями-лианами	kumarasambhava	2.64	translation
BrUmaDya	BrUmaDye	bhrūmadhye	посередине бровей	devi-gita	5.23	translation
BrUvijfmBa	BrUvijfmBa	bhrūvijṛmbha	игрой её бровей	devi-gita	3.28	translation
BrUvikAra	BrUvikArAn	bhrūvikārān	съ улыбкой	megha-duta	1.16	translation
BrUvikriyA	BrUvikriyA	bhrūvikriyā	брови	kumarasambhava	3.47	translation
BrUvilAsa	BrUvilAsAn	bhrūvilāsān	нахмуренныя брови	megha-duta	2.41	translation
BraMS	BraSyante	bhraśyante	покорялись	02_ramayana-ayodhyakanda	22.23	translation
BraMSa	BraMSa	bhraṃśa	урон	02_ramayana-ayodhyakanda	117.26	translation
BraMSin	BraMSiBiH	bhraṃśibhiḥ	упали	megha-duta	1.29	translation
BraMs	Brasyate	bhrasyate	гибнуть	05_mahabharata-udyogaparva	5.36.41-46	translation
Braja	Brajas	bhrajas	силу	07_atharvaveda	95.2	translation
Bram	BrAnta	bhrānta	помутившимся	02_ramayana-ayodhyakanda	40.39	translation
Brama	Brama	bhrama	колебания	09_rigveda	22.2	translation
BramaRa	BramaRa	bhramaṇa	вращение	01_mahabharata-adiparva	1.16.6-26	translation
BramarI	BramarI	bhramarī	черная пчела	raghuvamsha	10.58-59	translation
Bramara	Bramara	bhramara	пчелами	02_ramayana-ayodhyakanda	114.12	translation
Bramaraka	Bramaraka	bhramaraka	волчок	kama-sutra	2.1.21	translation
BrazwarAjya	BrazwarAjya	bhraṣṭarājya	лишенного царства	03_mahabharata-aranyakaparva	3.68.8-11	translation
Brazwayoga	Brazwayoga	bhraṣṭayoga	прервалась йога	17_mahabharata-mahaprasthanikaparva	17.2.1-5	translation
Brez	Brezate	bhreṣate	оступится	07_rigveda	20.6	translation
Breza	Breza	bhreṣa	утрата	yoga-sutry_vyasa-bhashya	3.4	commentary
BrukuwI	BrukuwIm	bhrukuṭīm	брови	02_ramayana-ayodhyakanda	23.2	translation
Brukuwi	BrukuwI	bhrukuṭī	бровями	02_ramayana-ayodhyakanda	23.3	translation
Bu	Bavas	bhavas	будь	03_mahabharata-aranyakaparva	3.218.13	translation
BuSuRqi	BuSuRqyaH	bhuśuṇḍyaḥ	бхушунди	01_mahabharata-adiparva	1.186.3-8	translation
Buj	Buj	bhuj	пользовался	01_mahabharata-adiparva	1.1.91-94	translation
BujA	BujA	bhujā	руками	03_mahabharata-aranyakaparva	3.154.50-61	translation
BujAGAta	BujAGAta	bhujāghāta	ударяли друг друга руками	07_mahabharata-dronaparva	7.117.35-41	translation
BujAMsadeSa	BujAMsadeSa	bhujāṃsadeśa	из подмышки	buddhacharita	1.10	translation
BujANka	BujANka	bhujāṅka	объятиях	05_ramayana-sundarakanda	10.32	translation
BujAntara	BujAntara	bhujāntara	грудь	07_mahabharata-dronaparva	7.141.1-8	translation
Buja	BujAByAm	bhujābhyām	руками	02_ramayana-ayodhyakanda	39.19	translation
BujaMgI	BujaNgI	bhujaṅgī	змея	hatha-yoga-pradipika	3.68	translation
BujaMga	BujaNga	bhujaṅga	змеем	01_mahabharata-adiparva	1.11.1-11	translation
BujaMgaBojin	BujaNgaBojin	bhujaṅgabhojin	пожирателя змей	01_mahabharata-adiparva	1.24.10-14	translation
BujaMgadIrGa	BujaNgadIrGa	bhujaṅgadīrgha	длинные, будто змеи	buddhacharita	11.17	translation
BujaMgamA	BujaNgamAm	bhujaṅgamām	змею	01_mahabharata-adiparva	1.43.25-36	translation
BujaMgama	BujaNgama	bhujaṅgama	змей	01_mahabharata-adiparva	1.13.29-33	translation
BujagAtmajA	BujagAtmajA	bhujagātmajā	дочь змеи	01_mahabharata-adiparva	1.218.1-9	translation
BujagI	BujagI	bhujagī	змею	03_ramayana-aranyakanda	54.7	translation
Bujaga	Bujaga	bhujaga	змею	01_mahabharata-adiparva	1.8.14-22	translation
Bujagavalaya	Bujagavalaya	bhujagavalaya	змѣю	megha-duta	1.60	translation
Bujagendra	Bujagendra	bhujagendra	повелитель змей	05_mahabharata-udyogaparva	5.110.1-3	translation
BujalatA	BujalatA	bhujalatā	руки лиана	shatakatrayam	3.94	translation
BujamaDya	BujamaDya	bhujamadhya	груди	raghuvamsha	13.72-73	translation
BujavIrya	BujavIrya	bhujavīrya	силой своих рук	01_ramayana-balakanda	17.35	translation
Buji	BujI	bhujī	несущие радость	08_rigveda	8.2	translation
BujiNga	BujiNga	bhujiṅga	Бхуджинги	06_mahabharata-bhishmaparva	6.10.36-68	translation
BujizyA	BujizyAm	bhujiṣyām	наемница	03_mahabharata-aranyakaparva	3.62.25-33	translation
Bujizya	BujizyA	bhujiṣyā	рабыня	01_mahabharata-adiparva	1.77.21-23	translation
Bujman	Bujma	bhujma	Насыщающий	01_rigveda	65.5-6	translation
Bujyu	Bujyu	bhujyu	Бхуджью	01_rigveda	112.6	translation
Bukta	Bukta	bhukta	насладиться	12_mahabharata-shantiparva	12.7.23-33	translation
BuktaBoga	BuktaBoga	bhuktabhoga	вкушавший лучшие яства	02_ramayana-ayodhyakanda	104.11	translation
BuktaSeza	BuktaSeza	bhuktaśeṣa	остаток от пищи	manavadharmashastra	3.285	translation
BuktamAtre	BuktamAtre	bhuktamātre	тотчас после еды	manavadharmashastra	4.121	translation
Bukti	Bukti	bhukti	обед	shukasaptati	37.1	translation
BuktocCizwa	BuktocCizwA	bhuktocchiṣṭā	измятую и увядшую	buddhacharita	12.7	translation
Bumanyu	Bumanyu	bhumanyu	Бхуманью	01_mahabharata-adiparva	1.89.16-30	translation
Bur	Burantu	bhurantu	Пусть дергаются	10_rigveda	76.6	translation
BuraRa	BuraRA	bhuraṇā	подвижные	01_rigveda	117.11	translation
BuraRy	BuraRyantam	bhuraṇyantam	на деятельного	01_rigveda	50.6	translation
BuraRyu	BuraRyu	bhuraṇyu	извивающийся	01_rigveda	68.1-2	translation
Buraj	Burajanta	bhurajanta	готовят	04_rigveda	43.5	commentary
Burij	Burijor	bhurijor	в тисках	08_rigveda	4.16	translation
BuruRqa	BuruRqa	bhuruṇḍa	бхурунды	03_mahabharata-aranyakaparva	3.170.39-50	translation
BurvaRi	BurvaRiH	bhurvaṇiḥ	возбужденный	01_rigveda	56.1	translation
Buva	BuvaH	bhuvaḥ	бхувах	manavadharmashastra	2.76	translation
Buvana	BuvanAni	bhuvanāni	мирами	01_mahabharata-adiparva	1.3.60	translation
Buvanatraya	Buvanatraya	bhuvanatraya	мирами	kumarasambhava	2.40	translation
Buvanavidita	Buvanavidita	bhuvanavidita	знаменитый	megha-duta	1.6	translation
BuvaneSAnI	BuvaneSAnI	bhuvaneśānī	Бхуванешвари	devi-gita	3.45	translation
BuvaneSa	BuvaneSa	bhuvaneśa	властителя мира	shv-up	6.7	translation
BuvaneSvarI	BuvaneSvarI	bhuvaneśvarī	Бхуванешвари	devi-gita	1.50	translation
BuvaneSvara	BuvaneSvara	bhuvaneśvara	владык миров	01_mahabharata-adiparva	1.59.14-16	translation
BuvanezWA	BuvanezWAH	bhuvaneṣṭhāḥ	пребывая в существах	04_atharvaveda	1.2	translation
Buvar	BuvaH	bhuvaḥ	бхувах	manavadharmashastra	2.76	translation
BuvizWa	BuvizWa	bhuviṣṭha	на земле	01_mahabharata-adiparva	1.57.5-16	translation
Byas	aByasetAm	abhyasetām	сотрясались	02_rigveda	12.1	translation
CAdana	CAdanam	chādanam	завесу	shatakatrayam	1.7	translation
CAdmika	CAdmika	chādmika	лицемерный	manavadharmashastra	4.195	translation
CAga	CAgAn	chāgān	козлов	05_ramayana-sundarakanda	11.17	translation
CAgala	CAgalam	chāgalam	козий	kama-sutra	2.6.41	translation
CAgamAMsa	CAgamAMsa	chāgamāṃsa	мясом козла	manavadharmashastra	3.269	translation
CAgamaya	CAgamayam	chāgamayam	козлиный	03_mahabharata-aranyakaparva	3.217.8-13	translation
CAgamuKa	CAgamuKa	chāgamukha	Козлоликого	03_mahabharata-aranyakaparva	3.217.1-5	translation
CAndasatva	CAndasatva	chāndasatva	чхандасах	gitarthasamgraha-abhinavagupta	14.2	translation
CAttra	CAtra	chātra	учеников	amaru-shataka	26.9	translation
CAyA	CAyA	chāyā	тенью	05_ramayana-sundarakanda	1.67	translation
CAyAdvitIya	CAyAdvitIya	chāyādvitīya	удваиваясь тенью	03_mahabharata-aranyakaparva	3.54.21-24	translation
CAyAgrAha	CAyAgrAha	chāyāgrāha	Ловящей добычу по тени	01_ramayana-balakanda	3.28	translation
CAyAmaya	CAyAmaya	chāyāmaya	состоит из тени	br-up	2.1.12	translation
CAyApaTa	CAyApaTa	chāyāpatha	Млечный Путь	raghuvamsha	13.2-15	translation
CAyAtman	CAyAtmA	chāyātmā	обликомъ	megha-duta	1.40	translation
CAyAvfkza	CAyAvfkzam	chāyāvṛkṣam	тенистого дерева	raghuvamsha	10.5-15	translation
CAya	CAya	chāya	тенистые	03_mahabharata-aranyakaparva	3.143.1-10	translation
